+-----------------------------------------+----------------------+---------------------+---------------------+
|                  Params                 | Mean Reciprocal Rank |  Average Precision  |    Recall By User   |
+-----------------------------------------+----------------------+-----------------------+----------------------+
|  512_10_0.05_0.001_5000_May03_11-28-34  | 0.04387168948387034  |  0.01240950582493408  | 0.013550135501354987 |
|  512_10_0.05_0.001_20000_May03_11-36-51 | 0.06952373215574256  |  0.017996627520830647 |  0.0188523624366678  |
|  512_10_0.05_0.001_50000_May03_11-53-43 | 0.03734203667361836  |  0.00869791763575476  | 0.009190526687875561 |
|   512_10_0.1_0.001_5000_May03_12-29-39  | 0.051808796474438285 |  0.013708106370359853 | 0.01461058088841755  |
|  512_10_0.1_0.001_20000_May03_12-38-41  | 0.06325518690590257  |  0.015861879305901418 | 0.015199717214563415 |
|  512_10_0.1_0.001_50000_May03_12-56-54  | 0.02620119908161112  | 0.0056501891650321155 | 0.005302226935312828 |
|   512_10_0.5_0.001_5000_May03_13-32-52  |  0.0449625460677544  |  0.012033000348096672 | 0.012489690114292424 |
|  512_10_0.5_0.001_20000_May03_13-42-25  | 0.07140894892515032  |  0.01872720052024994  | 0.018852362436667797 |
|  512_10_0.5_0.001_50000_May03_13-58-55  | 0.055888550453793824 |  0.013462273655197568 | 0.013196653705667465 |
|    512_10_1_0.001_5000_May03_14-36-13   | 0.04865552745961894  |  0.013693786464017421 | 0.014492753623188376 |
|   512_10_1_0.001_20000_May03_14-45-50   | 0.05715437928672359  |  0.013934289083231606 | 0.01461058088841755  |
|   512_10_1_0.001_50000_May03_15-03-45   | 0.07906800637348703  |  0.022667315442971764 | 0.02344762578060558  |
|  1024_10_0.05_0.001_5000_May03_15-38-21 | 0.05142771846306121  |  0.013310947528875213 | 0.012725344644750771 |
| 1024_10_0.05_0.001_20000_May03_15-49-00 | 0.06196076956432942  |  0.015613858957508109 | 0.016260162601625976 |
| 1024_10_0.05_0.001_50000_May03_16-06-12 | 0.08203945390215024  |  0.021417021021717865 | 0.020855425945563753 |
|  1024_10_0.1_0.001_5000_May03_16-43-59  | 0.04935239478495573  |  0.012956410501869303 | 0.014139271827500854 |
|  1024_10_0.1_0.001_20000_May03_16-54-36 | 0.07955025642212414  |  0.023070410677544808 | 0.024154589371980614 |
|  1024_10_0.1_0.001_50000_May03_17-14-09 | 0.06872536887004879  |  0.01873546896785793  | 0.019088016967126142 |
|  1024_10_0.5_0.001_5000_May03_17-55-15  | 0.05100214725667754  |  0.01404256393991537  | 0.01472840815364672  |
|  1024_10_0.5_0.001_20000_May03_18-04-29 | 0.05656289356409634  |  0.013528950111381692 | 0.01307882644043829  |
|  1024_10_0.5_0.001_50000_May03_18-21-01 | 0.08995671559435307  |  0.024294315656852538 | 0.024036762106751437 |
|   1024_10_1_0.001_5000_May03_18-54-40   | 0.04640887746581485  |  0.01333467377549731  | 0.01472840815364672  |
|   1024_10_1_0.001_20000_May03_19-02-51  |  0.0679495135745715  |  0.01758825749307391  | 0.016731471662542675 |
|   1024_10_1_0.001_50000_May03_19-22-36  | 0.10807815314682849  |  0.03282313215103388  | 0.03275597973371029  |
+-----------------------------------------+----------------------+-----------------------+----------------------+
